method,method_display_name,num_qubits,h,ansatz,reps,entanglement,runs,final_relative_error_mean,final_relative_error_std,best_relative_error_mean,best_relative_error_std,best_step_mean,nominal_total_quantum_evals_mean,final_energy_mean,best_energy_mean
psr,PSR,7,2.0,RealAmplitudes,2,reverse_linear,1,0.010808467779556916,0.0,0.010808467779556916,0.0,500.0,21000.0,-14.731791390664917,-14.731791390664917
psr,PSR,8,2.0,RealAmplitudes,2,reverse_linear,1,0.009647220812327205,0.0,0.009647220812327205,0.0,500.0,24000.0,-16.85398647981524,-16.85398647981524
psr,PSR,9,2.0,RealAmplitudes,2,reverse_linear,1,0.008742499946005036,0.0,0.008742499946005036,0.0,500.0,27000.0,-18.977108960255997,-18.977108960255997
psr,PSR,10,2.0,RealAmplitudes,2,reverse_linear,1,0.0080290396661911,0.0,0.0080290396661911,0.0,500.0,30000.0,-21.10042143934276,-21.10042143934276
psr,PSR,11,2.0,RealAmplitudes,2,reverse_linear,1,0.007457415516185193,0.0,0.007457415516185193,0.0,500.0,33000.0,-23.22363949458195,-23.22363949458195
psr,PSR,12,2.0,RealAmplitudes,2,reverse_linear,1,0.006985838863945786,0.0,0.006985838863945786,0.0,500.0,36000.0,-25.346823798889982,-25.346823798889982
qnbda_psr,QN-BDA+PSR,6,2.0,RealAmplitudes,2,reverse_linear,1,0.012969460122488863,0.0,0.012969460122488863,0.0,500.0,19500.0,-12.603777044133471,-12.603777044133471
qnbda_psr,QN-BDA+PSR,7,2.0,RealAmplitudes,2,reverse_linear,1,0.010019885405922125,0.0,0.010019885405922125,0.0,500.0,22500.0,-14.74353555814345,-14.74353555814345
qnbda_psr,QN-BDA+PSR,8,2.0,RealAmplitudes,2,reverse_linear,1,0.00944243520224887,0.0,0.00944243520224887,0.0,500.0,25500.0,-16.8574715550087,-16.8574715550087
qnbda_psr,QN-BDA+PSR,9,2.0,RealAmplitudes,2,reverse_linear,1,0.020312749763662038,0.0,0.020312749763662038,0.0,500.0,28500.0,-18.75560254898032,-18.75560254898032
qnbda_psr,QN-BDA+PSR,10,2.0,RealAmplitudes,2,reverse_linear,1,0.030250591559395936,0.0,0.030250591559395936,0.0,500.0,31500.0,-20.627742168746913,-20.627742168746913
qnbda_psr,QN-BDA+PSR,11,2.0,RealAmplitudes,2,reverse_linear,1,0.03839352265404473,0.0,0.03839352265404473,0.0,500.0,34500.0,-22.49979246699164,-22.49979246699164
qnbda_psr,QN-BDA+PSR,12,2.0,RealAmplitudes,2,reverse_linear,1,0.03631310648590578,0.0,0.03631310648590578,0.0,500.0,37500.0,-24.59824123681828,-24.59824123681828
qnbda_spsa,QN-BDA+SPSA,6,2.0,RealAmplitudes,2,reverse_linear,7,0.4561993474891882,0.12940284005251235,0.17431069346079955,0.04456232570440579,275.14285714285717,2500.0,-6.944002139539811,-10.543548053373026
qnbda_spsa,QN-BDA+SPSA,7,2.0,RealAmplitudes,2,reverse_linear,7,0.5114315040112087,0.1645285675898085,0.2581052067315162,0.02781808715993508,259.0,2500.0,-7.276133012179697,-11.048860581851537
qnbda_spsa,QN-BDA+SPSA,8,2.0,RealAmplitudes,2,reverse_linear,7,0.5966824314695823,0.16823689167939476,0.33823660863804683,0.05036974698737249,307.0,2500.0,-6.86372471500429,-11.261998234608347
qnbda_spsa,QN-BDA+SPSA,9,2.0,RealAmplitudes,2,reverse_linear,7,0.6231219840099909,0.080537128886865,0.398245863045999,0.028065007650090613,188.57142857142858,2500.0,-7.215133478211187,-11.52026978220982
qnbda_spsa,QN-BDA+SPSA,10,2.0,RealAmplitudes,2,reverse_linear,7,0.701846127511244,0.06333653616342248,0.43934689902999363,0.030319536398837336,323.14285714285717,2500.0,-6.342093281811162,-11.925769185582405
qnbda_spsa,QN-BDA+SPSA,11,2.0,RealAmplitudes,2,reverse_linear,7,0.7188191075386815,0.08565250576340737,0.4593407016587983,0.033062935005512675,332.2857142857143,2500.0,-6.57910681251275,-12.650416042954626
qnbda_spsa,QN-BDA+SPSA,12,2.0,RealAmplitudes,2,reverse_linear,7,0.6732750453702394,0.05457461897015443,0.5006061223575856,0.0372026301283167,349.2857142857143,2500.0,-8.339699653655002,-12.747097794018673
qnspsa_psr,QN-SPSA+PSR,6,2.0,RealAmplitudes,2,reverse_linear,7,0.014806965669499678,0.008093027058289352,0.014806965669499678,0.008093027058289352,500.0,20000.0,-12.580313220780287,-12.580313220780287
qnspsa_psr,QN-SPSA+PSR,7,2.0,RealAmplitudes,2,reverse_linear,7,0.01352041601696989,0.009795915758457304,0.01352041601696989,0.009795915758457304,500.0,23000.0,-14.691402998331867,-14.691402998331867
qnspsa_psr,QN-SPSA+PSR,8,2.0,RealAmplitudes,2,reverse_linear,7,0.03669907714013704,0.049446360993161194,0.03669907714013704,0.049446360993161194,500.0,26000.0,-16.393613539602175,-16.393613539602175
qnspsa_psr,QN-SPSA+PSR,9,2.0,RealAmplitudes,2,reverse_linear,7,0.010310404184875293,0.004341842197731006,0.010310404184875293,0.004341842197731006,500.0,29000.0,-18.94709224958428,-18.94709224958428
qnspsa_psr,QN-SPSA+PSR,10,2.0,RealAmplitudes,2,reverse_linear,7,0.011961142504372305,0.013539951825105546,0.011961142504372305,0.013539951825105546,500.0,32000.0,-21.016780858775224,-21.016780858775224
qnspsa_psr,QN-SPSA+PSR,11,2.0,RealAmplitudes,2,reverse_linear,7,0.016058723157328814,0.01823033337106454,0.016058723157328814,0.01823033337106454,500.0,35000.0,-23.02238498826392,-23.02238498826392
qnspsa_psr,QN-SPSA+PSR,12,2.0,RealAmplitudes,2,reverse_linear,7,0.006688775736218523,0.0025036302415399306,0.006688775736218523,0.0025036302415399306,500.0,38000.0,-25.35440637630966,-25.35440637630966
qnspsa_spsa,QN-SPSA+SPSA,6,2.0,RealAmplitudes,2,reverse_linear,7,0.038775625183227434,0.004348462955254471,0.038762809650563154,0.004353399600396866,498.57142857142856,3000.0,-12.274248080591958,-12.274411727115421
qnspsa_spsa,QN-SPSA+SPSA,7,2.0,RealAmplitudes,2,reverse_linear,7,0.03898395239417245,0.011875605075960877,0.038938433560338326,0.011817015481058287,497.7142857142857,3000.0,-14.312180680146922,-14.312858581182818
qnspsa_spsa,QN-SPSA+SPSA,8,2.0,RealAmplitudes,2,reverse_linear,7,0.059188564875425245,0.020039465866412233,0.05670038094268244,0.016796715955641674,497.7142857142857,3000.0,-16.01088373847068,-16.05322806187041
qnspsa_spsa,QN-SPSA+SPSA,9,2.0,RealAmplitudes,2,reverse_linear,7,0.10151840982818142,0.04377861585054238,0.09461759877531116,0.03818331170650952,487.2857142857143,3000.0,-17.200962448754144,-17.333074884985216
qnspsa_spsa,QN-SPSA+SPSA,10,2.0,RealAmplitudes,2,reverse_linear,7,0.15668234410759596,0.04412287920613376,0.1463846196825831,0.04699049801770862,458.85714285714283,3000.0,-17.93838595898046,-18.157431005582296
qnspsa_spsa,QN-SPSA+SPSA,11,2.0,RealAmplitudes,2,reverse_linear,7,0.23809572178236543,0.059512882136756415,0.2096464629317721,0.04662792573587483,467.85714285714283,3000.0,-17.827134637158277,-18.492794067557252
qnspsa_spsa,QN-SPSA+SPSA,12,2.0,RealAmplitudes,2,reverse_linear,7,0.24884306990271193,0.02864430635152139,0.23639602073156035,0.026407678248865973,490.57142857142856,3000.0,-19.173384527275093,-19.49109717882113
spsa,SPSA,6,2.0,RealAmplitudes,2,reverse_linear,7,0.013726120131640247,0.00383117562686766,0.013726120131640247,0.00383117562686766,500.0,1000.0,-12.594114958039622,-12.594114958039622
spsa,SPSA,7,2.0,RealAmplitudes,2,reverse_linear,7,0.012376508073844624,0.002073361641828754,0.012376508073844624,0.002073361641828754,500.0,1000.0,-14.70843894398985,-14.70843894398985
spsa,SPSA,8,2.0,RealAmplitudes,2,reverse_linear,7,0.014232085104739129,0.005797737122256934,0.014232085104739129,0.005797737122256934,500.0,1000.0,-16.775960505213057,-16.775960505213057
spsa,SPSA,9,2.0,RealAmplitudes,2,reverse_linear,7,0.02057936309299208,0.01300162608722771,0.02057936309299208,0.01300162608722771,500.0,1000.0,-18.750498375543373,-18.750498375543373
spsa,SPSA,10,2.0,RealAmplitudes,2,reverse_linear,7,0.02376768710010243,0.014893065388729084,0.02376768710010243,0.014893065388729084,500.0,1000.0,-20.7656413832522,-20.7656413832522
spsa,SPSA,11,2.0,RealAmplitudes,2,reverse_linear,7,0.029732388756849186,0.015554272463661308,0.029732388756849186,0.015554272463661308,500.0,1000.0,-22.702446795770268,-22.702446795770268
spsa,SPSA,12,2.0,RealAmplitudes,2,reverse_linear,7,0.048487076564848894,0.057485458187706305,0.048487076564848894,0.057485458187706305,500.0,1000.0,-24.287498966868263,-24.287498966868263
